Title,roomicons,Title1,singleroomtext,Title2,furareea,furareea6,furareea7
"35,000",8,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Alausa Alausa Ikeja Lagos,Clean 975sqm Office Space In Alausa Ikeja For Rent, beds, baths,10 Toilets
"1,800,000",5,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT, Maryland Lagos,4 Bedroom Terrace Duplex Available At Maryland,4 beds,5 baths,5 Toilets
"5,000,000",8,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,"Abiola Court, Ikate Lekki Lagos",4 Bedroom Spacious And Fully Serviced Terrace Duplex With 24hrs Power,4 beds,4 baths,4 Toilets
"5,000,000",16,3 BEDROOM DETACHED BUNGALOW HOUSE FOR RENT,"UPDC Estate, Lekki Phase 1 Lekki Lagos","Spacious And Serviced 3 Bedroom Bungalow With 1 Room Bq & 24hrs Power, Pool Etc",3 beds,3 baths,4 Toilets
"14,000,000",22,3 BEDROOM FLAT / APARTMENT FOR RENT, Banana Island Ikoyi Lagos,Tastefully Finished 6 Units Of 3bedroom Flat With Water Front In A Banana Island For Rent,3 beds,4 baths,4 Toilets
"6,000,000",11,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT, Parkview Estate Ikoyi Lagos,"Tastefully Finished Terrace For Rent At Parkview Estate, Ikoyi",4 beds,5 baths,5 Toilets
"12,000,000",7,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT, Mosley Road Ikoyi Lagos,"Tastefully Finished 3 Bedroom Terrace For Rent At Mosley Road, Ikoyi.",3 beds,4 baths,4 Toilets
"2,300,000",9,2 BEDROOM FLAT / APARTMENT FOR RENT,Osapa Osapa London Lekki Lagos,Newly Built Serviced 12 UNITS Of Spacious 2 Bedroom Flat,2 beds,2 baths,3 Toilets
"800,000",9,1 BEDROOM MINI FLAT STUDIO APARTMENT FLAT / APARTMENT FOR RENT,Off fola osibo street Lekki Phase 1 Lekki Lagos,Spacious Self-Contained To Let,1 beds,1 baths,1 Toilets
"900,000",10,2 BEDROOM FLAT / APARTMENT FOR RENT,Divine estate Amuwo Odofin Lagos,2 Bed Room Flat Upstair At Divine Estate Amuwo,2 beds,3 baths,3 Toilets
"2,500,000",21,3 BEDROOM FLAT / APARTMENT FOR RENT,Chief Yesufu Abiodun Oniru Road Oniru Victoria Island Lagos,Luxury 3 Bedroom Flat,3 beds,3 baths,4 Toilets
"1,500,000",4,1 BEDROOM MINI FLAT SHOP IN A MALL COMMERCIAL PROPERTY FOR RENT,Off Admiralty road Lekki Phase 1 Lekki Lagos,Office Space In A Good Location,1 beds,1 baths,1 Toilets
